State,Cities,Length of record (years),January ,February ,March,April,May,June,July,August,September,October,November,December,Annual \1
Alabama ,Mobile,66,84,82,90,94,100,102,104,105,99,93,87,81,105
Alaska ,Juneau,63,57,57,61,74,82,86,90,84,73,61,56,54,90
Arizona ,Phoenix,70,88,92,100,105,113,122,121,116,118,107,95,88,122
Arkansas ,Little Rock,66,83,85,91,95,98,105,112,109,106,97,86,80,112
California ,Los Angeles,72,91,92,95,102,97,104,97,98,110,106,101,94,110
,Sacramento,57,70,76,88,95,105,115,114,110,108,104,87,72,115
,San Diego,67,88,90,93,98,96,101,99,98,111,107,97,88,111
,San Francisco,80,72,78,85,92,97,106,105,100,103,99,85,75,106
Colorado ,Denver,65,73,77,84,90,96,104,105,101,97,89,80,75,105
Connecticut ,Hartford,53,72,73,89,96,99,100,102,102,99,91,81,76,102
Delaware ,Wilmington,60,75,78,86,94,96,100,102,101,100,91,85,75,102
District of Columbia ,Washington,66,79,82,89,95,99,101,104,105,101,94,86,79,105
Florida ,Jacksonville,66,85,88,91,95,100,103,105,102,100,96,88,84,105
,Miami,65,88,89,93,96,96,98,98,98,97,95,91,87,98
Georgia ,Atlanta,59,79,80,89,93,95,101,105,104,98,95,84,79,105
Hawaii ,Honolulu,38,88,88,88,91,93,92,94,93,95,94,93,89,95
Idaho ,Boise,68,63,71,81,92,99,109,111,110,102,94,78,65,111
Illinois ,Chicago,49,65,72,88,91,93,104,104,101,99,91,78,71,104
,Peoria,68,70,72,86,92,94,105,104,103,100,93,81,71,105
Indiana ,Indianapolis,68,71,76,85,89,93,102,104,102,100,91,81,74,104
Iowa ,Des Moines,68,67,73,91,93,98,103,105,108,101,95,81,69,108
Kansas ,Wichita,55,75,87,89,96,100,110,113,110,108,97,86,83,113
Kentucky ,Louisville,60,77,77,86,91,95,102,106,105,104,93,84,76,106
Louisiana ,New Orleans,61,83,85,89,92,96,100,101,102,101,94,87,84,102
Maine ,Portland,67,67,64,88,85,94,98,99,103,95,88,74,71,103
Maryland ,Baltimore,57,75,79,89,94,98,101,104,105,100,94,83,77,105
Massachusetts ,Boston,56,69,70,89,94,95,100,102,102,100,90,79,76,102
Michigan ,Detroit,49,62,70,81,89,93,104,102,100,98,91,77,69,104
,Sault Ste. Marie,67,45,49,75,85,89,93,97,98,95,81,67,62,98
Minnesota ,Duluth,66,52,55,78,88,90,94,97,97,95,86,71,55,97
,Minneapolis-St. Paul,69,58,61,83,95,97,102,105,102,98,90,77,68,105
Mississippi ,Jackson,44,83,85,89,94,99,105,106,107,104,95,88,84,107
Missouri ,Kansas City,35,71,78,86,93,95,105,107,109,106,95,82,74,109
,St. Louis,50,76,85,89,93,94,102,107,107,104,94,85,76,107
Montana ,Great Falls,70,67,70,78,89,93,101,105,106,98,91,76,69,106
Nebraska ,Omaha,71,69,78,89,97,99,105,114,110,104,96,83,72,114
Nevada ,Reno,66,71,75,83,89,97,103,108,105,101,91,77,70,108
New Hampshire ,Concord,66,69,67,89,95,97,98,102,101,98,90,80,73,102
New Jersey ,Atlantic City,64,78,75,87,94,99,106,104,103,99,90,84,77,106
New Mexico ,Albuquerque,68,69,76,85,89,98,107,105,101,100,91,77,72,107
New York ,Albany,61,71,68,89,92,94,99,100,99,100,89,82,71,100
,Buffalo,64,72,71,81,94,91,96,97,99,98,87,80,74,99
,New York \2,139,72,75,86,96,99,101,106,104,102,94,84,75,106
North Carolina ,Charlotte,68,79,81,90,93,100,103,103,104,104,98,85,80,104
,Raleigh,63,80,84,92,95,97,104,105,105,104,98,88,81,105
