State ,POST OFFICE ABBR,5-DIGIT FIPS CODE,2 DIGIT FIPS CODE,Total area SQ MILE,Total area SQ KM,Land area SQ MILE,Land area SQ KM,Total Water SQ MILE,Total Water SQ KM,Inland SQ MILE,Inland SQ KM,Coastal SQ MILE,Coastal SQ KM,Great Lakes SQ MILE,Great Lakes SQ KM,Territories SQ MILE
  Alabama ,AL,01000,01,52420.21341,135768.3527,50644,131167.96,1776,4599.84,1057,2737.63,517.9998475,1341.619605,(X),#VALUE!,200.8430475
  Alaska ,AK,02000,02,664987.9118,1722318.692,570665,1478022.35,94323,244296.57,20028,51872.52,28162.25832,72940.24906,(X),#VALUE!,46132.59495
  Arizona ,AZ,04000,04,113990.4859,295235.3584,113595,294211.05,396,1025.64,396,1025.64,0,0,(X),#VALUE!,0
  Arkansas ,AR,05000,05,53178.22273,137731.5969,52030,134757.7,1149,2975.91,1149,2975.91,0,0,(X),#VALUE!,0
  California ,CA,06000,06,163693.9928,423967.4414,155766,403433.94,7928,20533.52,2842,7360.78,221.5745845,573.8781739,(X),#VALUE!,4864.333014
  Colorado ,CO,08000,08,104094.2883,269604.2068,103641,268430.19,454,1175.86,454,1175.86,0,0,(X),#VALUE!,0
  Connecticut ,CT,09000,09,5543.632314,14358.00769,4840,12535.6,703,1820.77,164,424.76,538.7609116,1395.390761,(X),#VALUE!,0
  Delaware ,DE,10000,10,2488.500013,6445.215033,1949,5047.91,539,1396.01,74,191.66,371.8601484,963.1177843,(X),#VALUE!,93.36087426
  District of Columbia ,DC,11000,11,68.38684349,177.1219246,61,157.99,7,18.13,7,18.13,0,0,(X),#VALUE!,0
  Florida ,FL,12000,12,65757.546,170312.0441,53603,138831.77,12154,31478.86,5373,13916.07,1128.425418,2922.621832,(X),#VALUE!,5652.681553
  Georgia ,GA,13000,13,59424.99099,153910.7267,57501,148927.59,1924,4983.16,1420,3677.8,48.81516015,126.4312648,(X),#VALUE!,454.8479456
  Hawaii ,HI,15000,15,10926.49578,28299.62407,6428,16648.52,4499,11652.41,40,103.6,0,0,(X),#VALUE!,4459.199318
  Idaho ,ID,16000,16,83568.43743,216442.2529,82643,214045.37,926,2398.34,926,2398.34,0,0,(X),#VALUE!,0
  Illinois ,IL,17000,17,57915.98787,150002.4086,55518,143791.62,2398,6210.82,836,2165.24,0,0,1561.97332,4045.510899,0
  Indiana ,IN,18000,18,36417.39406,94321.05061,35823,92781.57,594,1538.46,361,934.99,0,0,233.0172568,603.5146952,0
  Iowa ,IA,19000,19,56272.77715,145746.4928,55858,144672.22,415,1074.85,415,1074.85,0,0,(X),#VALUE!,0
  Kansas ,KS,20000,20,82278.29617,213100.7871,81762,211763.58,516,1336.44,516,1336.44,0,0,(X),#VALUE!,0
  Kentucky ,KY,21000,21,40411.07125,104664.6745,39492,102284.28,919,2380.21,919,2380.21,0,0,(X),#VALUE!,0
  Louisiana ,LA,22000,22,51988.0418,134649.0283,43199,111885.41,8789,22763.51,4433,11481.47,1951.20174,5053.612506,(X),#VALUE!,2404.557011
  Maine ,ME,23000,23,35383.8593,91644.19558,30841,79878.19,4543,11766.37,2282,5910.38,613.4838779,1588.923244,(X),#VALUE!,1647.075886
  Maryland ,MD,24000,24,12405.95237,32131.41664,9705,25135.95,2700,6993,736,1906.24,1854.217206,4802.422563,(X),#VALUE!,110.6350609
  Massachusetts ,MA,25000,25,10554.39176,27335.87465,7801,20204.59,2754,7132.86,461,1193.99,977.1455231,2530.806905,(X),#VALUE!,1315.50048
  Michigan ,MI,26000,26,96712.83465,250486.2417,56528,146407.52,40185,104079.15,2164,5604.76,0,0,38020.76109,98473.77122,0
  Minnesota ,MN,27000,27,86935.35418,225162.5673,79607,206182.13,7328,18979.52,4782,12385.38,0,0,2545.855846,6593.76664,0
  Mississippi ,MS,28000,28,48431.54463,125437.7006,46920,121522.8,1512,3916.08,772,1999.48,591.1545884,1531.090384,(X),#VALUE!,148.8691708
  Missouri ,MO,29000,29,69702.48053,180529.4246,68716,177974.44,987,2556.33,987,2556.33,0,0,(X),#VALUE!,0
  Montana ,MT,30000,30,147039.084,380831.2276,145541,376951.19,1498,3879.82,1498,3879.82,0,0,(X),#VALUE!,0
  Nebraska ,NE,31000,31,77349.14982,200334.298,76825,198976.75,524,1357.16,524,1357.16,0,0,(X),#VALUE!,0
  Nevada ,NV,32000,32,110572.2447,286382.1137,109780,284330.2,792,2051.28,792,2051.28,0,0,(X),#VALUE!,0
  New Hampshire ,NH,33000,33,9347.517771,24210.07103,8952,23185.68,396,1025.64,328,849.52,0,0,(X),#VALUE!,67.66155635
  New Jersey ,NJ,34000,34,8722.603163,22591.54219,7354,19046.86,1369,3545.71,458,1186.22,401.9058266,1040.936091,(X),#VALUE!,508.7681005
  New Mexico ,NM,35000,35,121590.1572,314918.5072,121297,314159.23,293,758.87,293,758.87,0,0,(X),#VALUE!,0
  New York ,NY,36000,36,54555.05564,141297.5941,47126,122056.34,7429,19241.11,1979,5125.61,977.2887048,2531.177745,3990.020608,10334.15338,482.1490447
  North Carolina ,NC,37000,37,53819.0114,139391.2395,48619,125923.21,5200,13468,4044,10473.96,0.00012278,0.000318001,(X),#VALUE!,1156.961607
  North Dakota ,ND,38000,38,70698.33317,183108.6829,69001,178712.59,1697,4395.23,1697,4395.23,0,0,(X),#VALUE!,0
  Ohio ,OH,39000,39,44825.1225,116097.0673,40858,105822.22,3967,10274.53,467,1209.53,0,0,3500.185137,9065.479504,0
  Oklahoma ,OK,40000,40,69898.83903,181037.9931,68603,177681.77,1296,3356.64,1296,3356.64,0,0,(X),#VALUE!,0
  Oregon ,OR,41000,41,98378.76377,254800.9982,95985,248601.15,2394,6200.46,1063,2753.17,74.20968707,192.2030895,(X),#VALUE!,1256.377677
  Pennsylvania ,PA,42000,42,46054.515,119281.1938,44739,115874.01,1316,3408.44,567,1468.53,0,0,749.1662595,1940.340612,0
  Rhode Island ,RI,44000,44,1544.885383,4001.253142,1034,2678.06,511,1323.49,187,484.33,8.861148005,22.95037333,(X),#VALUE!,315.1411203
  South Carolina ,SC,45000,45,32020.7097,82933.63812,30070,77881.3,1951,5053.09,1044,2703.96,74.19238969,192.1582893,(X),#VALUE!,832.1450787
  South Dakota ,SD,46000,46,77115.98024,199730.3888,75811,196350.49,1305,3379.95,1305,3379.95,0,0,(X),#VALUE!,0
  Tennessee ,TN,47000,47,42144.41369,109154.0315,41235,106798.65,910,2356.9,910,2356.9,0,0,(X),#VALUE!,0
  Texas ,TX,48000,48,268596.923,695666.0305,261226,676575.34,7371,19090.89,5607,14522.13,406.0036498,1051.549453,(X),#VALUE!,1357.770597
  Utah ,UT,49000,49,84896.94392,219883.0848,82191,212874.69,2706,7008.54,2706,7008.54,0,0,(X),#VALUE!,0
  Vermont ,VT,50000,50,9616.376632,24906.41548,9217,23872.03,400,1036,400,1036,0,0,(X),#VALUE!,0
  Virginia ,VA,51000,51,42774.82839,110786.8055,39493,102286.87,3282,8500.38,1106,2864.54,1728.876893,4477.791153,(X),#VALUE!,447.0564149
  Washington ,WA,53000,53,71297.58484,184660.7447,66449,172102.91,4849,12558.91,1646,4263.14,2536.695169,6570.040488,(X),#VALUE!,666.2418621
  West Virginia ,WV,54000,54,24229.85258,62755.31817,24038,62258.42,192,497.28,192,497.28,0,0,(X),#VALUE!,0
  Wisconsin ,WI,55000,55,65496.44744,169635.7989,54154,140258.86,11342,29375.78,1984,5138.56,0,0,9358.414588,24238.29378,0
  Wyoming ,WY,56000,56,97812.45991,253334.2712,97088,251457.92,724,1875.16,724,1875.16,0,0,(X),#VALUE!,0
