State,1970,1985,1995,2009
Alabama ,3444,3973,4297,4709
Alaska ,303,532,604,698
Arizona ,1775,3184,4432,6596
Arkansas ,1923,2327,2535,2889
California ,19971,26441,31697,36962
Colorado ,2210,3209,3827,5025
Connecticut ,3032,3201,3324,3518
Delaware ,548,618,730,885
District of Columbia ,757,635,581,600
Florida ,6791,11351,14538,18538
Georgia ,4588,5963,7328,9829
Hawaii ,770,1040,1197,1295
Idaho ,713,994,1177,1546
Illinois ,11110,11400,12008,12910
Indiana ,5195,5459,5851,6423
Iowa ,2825,2830,2867,3008
Kansas ,2249,2427,2601,2819
Kentucky ,3221,3695,3887,4314
Louisiana ,3645,4408,4379,4492
Maine ,994,1163,1243,1318
Maryland ,3924,4413,5070,5699
Massachusetts ,5689,5881,6141,6594
Michigan ,8882,9076,9676,9970
Minnesota ,3806,4184,4660,5266
Mississippi ,2217,2588,2723,2952
Missouri ,4678,5000,5378,5988
Montana ,694,822,877,975
Nebraska ,1485,1585,1657,1797
Nevada ,489,951,1582,2643
New Hampshire ,738,997,1158,1325
New Jersey ,7171,7566,8083,8708
New Mexico ,1017,1438,1720,2010
New York ,18241,17792,18524,19541
North Carolina ,5084,6254,7345,9381
North Dakota ,618,677,648,647
Ohio ,10657,10735,11203,11543
Oklahoma ,2559,3271,3308,3687
Oregon ,2092,2673,3184,3826
Pennsylvania ,11801,11771,12198,12605
Rhode Island ,950,969,1017,1053
South Carolina ,2591,3303,3749,4561
South Dakota ,666,698,738,812
Tennessee ,3926,4715,5327,6296
Texas ,11199,16273,18959,24782
Utah ,1059,1643,2014,2785
Vermont ,445,530,589,622
Virginia ,4651,5715,6671,7883
Washington ,3413,4400,5481,6664
West Virginia ,1744,1907,1824,1820
Wisconsin ,4418,4748,5185,5655
Wyoming ,332,500,485,544
